time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-06-25T15:30:48.500Z,34.3316667,-116.869,0.02,1.09,ml,15,96,0.03805,0.4,ci,ci37236136,2014-06-25T15:34:41.930Z,"8km NNW of Big Bear City, California",earthquake
2014-06-25T15:28:41.370Z,33.9955,-117.1761667,16.96,1.87,ml,69,31,0.06629,0.29,ci,ci37236128,2014-06-25T15:39:35.410Z,"6km S of Redlands, California",earthquake
2014-06-25T15:24:31.800Z,44.7853,-110.7695,4.4,0.7,Md,,129.6,0.05389892,0.11,uu,uu60074752,2014-06-25T17:25:30.453Z,"29km ENE of West Yellowstone, Montana",earthquake
2014-06-25T15:14:23.520Z,33.5,-116.4715,7.06,0.55,ml,20,138,0.04482,0.2,ci,ci37236112,2014-06-25T15:18:10.940Z,"19km ESE of Anza, California",earthquake
2014-06-25T15:04:36.000Z,60.2343,-141.6308,14.7,0.7,ml,,,,0.14,ak,ak11305835,2014-06-25T15:36:51.432Z,"48km ENE of Cape Yakataga, Alaska",earthquake
2014-06-25T14:52:55.110Z,33.7113333,-116.7528333,17.71,0.78,ml,21,101,0.03423,0.18,ci,ci37236104,2014-06-25T14:56:45.740Z,"4km SW of Idyllwild-Pine Cove, California",earthquake
2014-06-25T14:51:07.000Z,59.9486,-153.2348,100,2.1,ml,,,,1.4,ak,ak11305830,2014-06-25T15:36:50.493Z,"65km SSW of Redoubt Volcano, Alaska",earthquake
2014-06-25T14:43:31.050Z,38.8221664,-122.8119965,3.5,2.01,md,37,37,0.001939,0.03,nc,nc72243381,2014-06-25T19:31:06.070Z,"6km NW of The Geysers, California",earthquake
2014-06-25T14:38:26.000Z,60.7157,-147.1525,22,1.4,ml,,,,0.56,ak,ak11305815,2014-06-25T15:17:58.976Z,"63km SW of Valdez, Alaska",earthquake
2014-06-25T14:34:56.900Z,35.826,-119.8515,8.6,3.4,Ml,103,50.4,0.25152828,0.33,nc,nc72243371,2014-06-25T18:32:05.838Z,"22km SSE of Kettleman City, California",earthquake
2014-06-25T14:24:31.920Z,32.6908333,-115.4658333,9.92,1.52,ml,7,231,0.1153,0.27,ci,ci37236080,2014-06-25T14:28:26.490Z,"3km ENE of Calexico, California",earthquake
2014-06-25T14:18:45.100Z,33.5075,-116.4516667,13.62,0.6,ml,18,103,0.02687,0.26,ci,ci37236064,2014-06-25T14:22:51.350Z,"21km SW of La Quinta, California",earthquake
2014-06-25T14:11:56.000Z,60.5486,-150.8463,35.9,1.3,ml,,,,0.41,ak,ak11305799,2014-06-25T14:55:33.313Z,"4km WNW of Sterling, Alaska",earthquake
2014-06-25T14:08:48.100Z,19.1247,-66.3666,23,2.7,Md,11,291.6,0.85339952,0.25,pr,pr14176004,2014-06-25T15:26:32.000Z,"72km N of Brenas, Puerto Rico",earthquake
2014-06-25T13:58:28.700Z,38.7908,-122.7467,3.1,0.9,Md,8,82.8,0.00898315,0.02,nc,nc72243366,2014-06-25T14:18:04.506Z,"1km NNE of The Geysers, California",earthquake
2014-06-25T13:28:12.400Z,37.6135,-119.3617,8.7,1.1,Md,14,136.8,0.22457882,0.11,nc,nc72243346,2014-06-25T18:38:05.886Z,"23km SE of Yosemite Valley, California",earthquake
2014-06-25T13:24:40.800Z,37.6135,-119.3647,13,1.9,Md,18,176.4,0.22457882,0.05,nc,nc72243341,2014-06-25T18:03:10.674Z,"23km SE of Yosemite Valley, California",earthquake
2014-06-25T13:19:10.000Z,63.3846,-149.99,7.5,1.5,ml,,,,0.98,ak,ak11305728,2014-06-25T13:51:44.523Z,"51km W of Cantwell, Alaska",earthquake
2014-06-25T13:15:26.500Z,37.6228,-119.3595,15.6,1.6,Md,9,187.2,0.22457882,0.04,nc,nc72243336,2014-06-25T17:36:10.566Z,"23km SE of Yosemite Valley, California",earthquake
2014-06-25T13:12:28.500Z,37.6127,-119.3658,6.8,1,Md,12,136.8,0.22457882,0.09,nc,nc72243331,2014-06-25T16:33:05.181Z,"23km SE of Yosemite Valley, California",earthquake
2014-06-25T13:09:45.300Z,36.639,-98.1072,5,3.3,ml,,95,,0.43,us,usc000rlu3,2014-06-25T20:39:01.981Z,"17km NE of Helena, Oklahoma",earthquake
2014-06-25T12:44:26.600Z,38.7795,-122.7263,2,1.3,Md,22,75.6,0.00898315,0.05,nc,nc72243326,2014-06-25T15:41:04.908Z,"2km E of The Geysers, California",earthquake
2014-06-25T12:36:14.000Z,36.1037,-120.7007,6.7,1.8,Md,9,201.6,0.08983153,0.06,nc,nc72243321,2014-06-25T15:22:04.830Z,"30km W of Coalinga, California",earthquake
2014-06-25T12:26:51.400Z,38.8223,-122.8117,3.7,1.2,Md,26,46.8,0,0.03,nc,nc72243311,2014-06-25T17:09:15.417Z,"6km NW of The Geysers, California",earthquake
2014-06-25T12:23:24.900Z,39.4458,-111.218,3,1.8,Ml,,46.8,0.1527136,0.14,uu,uu60074747,2014-06-25T17:41:25.583Z,"23km ESE of Mount Pleasant, Utah",earthquake
2014-06-25T12:20:28.000Z,62.2395,-152.351,6.9,1.8,ml,,,,0.76,ak,ak11305671,2014-06-25T12:46:36.119Z,"116km W of Talkeetna, Alaska",earthquake
2014-06-25T12:18:33.000Z,60.9241,-140.8669,13.4,0.8,ml,,,,0.23,ak,ak11305667,2014-06-25T12:46:42.197Z,"128km NE of Cape Yakataga, Alaska",earthquake
2014-06-25T12:14:24.930Z,33.366,-116.3791667,6.97,1.17,ml,35,42,0.1026,0.26,ci,ci37236056,2014-06-25T12:25:32.510Z,"12km N of Borrego Springs, California",earthquake
2014-06-25T12:12:34.100Z,37.2903,-121.6658,5.9,1.9,Md,21,79.2,0.03593261,0.02,nc,nc72243301,2014-06-25T16:39:10.219Z,"15km E of Seven Trees, California",earthquake
2014-06-25T12:11:40.000Z,60.2285,-141.9595,0.4,0.9,ml,,,,1.56,ak,ak11305665,2014-06-25T12:46:40.862Z,"31km NE of Cape Yakataga, Alaska",earthquake
2014-06-25T11:52:03.600Z,13.5848,120.6944,76.74,5.6,mb,,34,8.695,0.91,us,usc000rltb,2014-06-25T18:19:22.216Z,"14km NNW of Wawa, Philippines",earthquake
2014-06-25T11:50:18.810Z,35.879,-117.8741667,0.15,1.4,ml,10,128,0.04499,0.35,ci,ci37236048,2014-06-25T11:54:04.860Z,"26km NNW of Inyokern, California",earthquake
2014-06-25T11:29:42.700Z,19.3605,-155.2882,2.5,1.8,Ml,,118.8,0.02694946,0.12,hv,hv60719926,2014-06-25T11:35:25.335Z,"9km SW of Volcano, Hawaii",earthquake
2014-06-25T11:14:03.700Z,38.8408,-122.83,2.5,0.8,Md,12,57.6,0.00898315,0.02,nc,nc72243281,2014-06-25T11:30:03.597Z,"9km WNW of Cobb, California",earthquake
2014-06-25T11:06:48.800Z,33.7298333,-116.8003333,17.97,0.75,ml,10,198,0.07536,0.11,ci,ci37236024,2014-06-25T11:10:52.410Z,"7km WSW of Idyllwild-Pine Cove, California",earthquake
2014-06-25T11:03:55.780Z,34.2448333,-117.5125,14.46,1.42,ml,34,45,0.03872,0.3,ci,ci37236016,2014-06-25T11:14:22.830Z,"16km NE of San Antonio Heights, California",earthquake
2014-06-25T11:01:12.880Z,33.2998333,-116.3291667,11.21,0.61,ml,17,204,0.08018,0.31,ci,ci37236008,2014-06-25T11:05:30.060Z,"6km NE of Borrego Springs, California",earthquake
2014-06-25T10:48:33.000Z,64.9993,-146.974,0,1.1,ml,,,,0.55,ak,ak11305556,2014-06-25T11:16:00.680Z,"32km NNE of North Pole, Alaska",earthquake
2014-06-25T10:45:31.740Z,-28.2552,-65.8106,31.69,4.7,mb,,134,3.269,1.29,us,usc000rlse,2014-06-25T11:27:05.783Z,"7km SE of El Rodeo, Argentina",earthquake
2014-06-25T10:44:25.120Z,11.4091,-87.0111,49.66,4.5,mb,,149,1.018,1,us,usc000rlsl,2014-06-25T18:47:01.427Z,"68km SW of Masachapa, Nicaragua",earthquake
2014-06-25T10:41:50.000Z,67.7446,-162.769,18,3.4,ml,,,,0.47,ak,ak11305549,2014-06-25T18:44:22.639Z,"21km NNE of Noatak, Alaska",earthquake
2014-06-25T10:38:03.030Z,11.3399,-85.5286,179.96,4.3,mb,,158,0.714,0.85,us,usc000rlsa,2014-06-25T18:42:33.476Z,"16km N of Cardenas, Nicaragua",earthquake
2014-06-25T10:36:06.000Z,60.2044,-141.2645,0.4,0.9,ml,,,,0.7,ak,ak11305545,2014-06-25T10:58:09.661Z,"66km ENE of Cape Yakataga, Alaska",earthquake
2014-06-25T10:31:17.000Z,61.5285,-150.9859,74.3,1.5,ml,,,,0.61,ak,ak11305541,2014-06-25T11:16:01.660Z,"54km W of Big Lake, Alaska",earthquake
2014-06-25T10:28:42.060Z,34.2385,-118.4221667,10.29,1.72,ml,34,86,0.0639,0.26,ci,ci37236000,2014-06-25T10:40:04.760Z,"5km SSE of San Fernando, California",earthquake
2014-06-25T10:17:39.660Z,33.4545,-116.443,16.09,0.67,ml,22,117,0.07022,0.19,ci,ci37235992,2014-06-25T10:21:30.050Z,"22km NNW of Borrego Springs, California",earthquake
2014-06-25T10:12:22.700Z,35.844,-119.7995,5,3.1,Ml,84,43.2,0.22457882,0.26,nc,nc72243256,2014-06-25T15:16:24.797Z,"23km SE of Kettleman City, California",earthquake
2014-06-25T10:10:04.000Z,47.4845,-122.7492,14.9,0.4,Md,,162,0.07186522,0.11,uw,uw60816521,2014-06-25T14:29:45.283Z,"6km ENE of Belfair, Washington",earthquake
2014-06-25T10:03:47.530Z,33.3699989,-116.893837,5.12,1.45,ml,15,284,0.2347,0.7,ci,ci37235976,2014-06-25T10:06:35.746Z,"8km SSW of Aguanga, California",earthquake
2014-06-25T10:02:42.000Z,60.0604,-141.5008,99.9,1.2,ml,,,,2.96,ak,ak11305530,2014-06-25T10:35:09.443Z,"51km E of Cape Yakataga, Alaska",earthquake
2014-06-25T10:02:14.920Z,33.6418333,-116.7146667,17.52,0.36,ml,12,96,0.0633,0.23,ci,ci37235968,2014-06-25T10:06:16.990Z,"10km S of Idyllwild, California",earthquake
2014-06-25T09:47:55.200Z,36.1058,-89.4077,9.6,2.9,md,22,75.5999939520005,0.02694946,0.04,nm,nm062514a,2014-06-25T18:42:25.956Z,"8km NNW of Dyersburg, Tennessee",earthquake
2014-06-25T09:47:07.670Z,33.1391667,-116.489,9.95,0.82,ml,23,141,0.108,0.26,ci,ci37235960,2014-06-25T09:51:20.910Z,"12km ENE of Julian, California",earthquake
2014-06-25T09:38:40.200Z,36.7137,-121.3562,2.9,1.9,Md,25,57.6,0.00898315,0.07,nc,nc72243246,2014-06-25T17:41:07.397Z,"10km S of Ridgemark, California",earthquake
2014-06-25T09:38:14.710Z,33.6358333,-116.6951667,15.97,0.68,ml,16,97,0.06438,0.06,ci,ci37235952,2014-06-25T09:42:13.730Z,"9km NNW of Anza, California",earthquake
2014-06-25T09:29:56.180Z,-46.9459,33.665,17.46,5,mb,,75,17.559,1.41,us,usc000rlrd,2014-06-25T17:32:26.285Z,"Prince Edward Islands region",earthquake
2014-06-25T09:21:43.640Z,38.3887,21.7623,10.94,4.5,mb,,49,0.774,1.33,us,usc000rlr5,2014-06-25T09:58:54.617Z,"5km W of Nafpaktos, Greece",earthquake
2014-06-25T09:21:36.400Z,36,-120.5648,1.9,1.3,Md,15,86.4,0.02694946,0.09,nc,nc72243241,2014-06-25T10:12:03.138Z,"24km SW of Coalinga, California",earthquake
2014-06-25T09:18:41.580Z,34.001,-117.2308333,14.29,1.09,ml,16,61,0.1042,0.27,ci,ci37235944,2014-06-25T09:23:00.110Z,"5km SSE of Loma Linda, California",earthquake
2014-06-25T09:16:15.340Z,35.8305016,-120.2223358,1.09,2.34,md,5,218,0.1015,0.03,nc,nc72243236,2014-06-25T14:47:09.658Z,"21km SSW of Avenal, California",earthquake
2014-06-25T09:15:14.600Z,35.9988,-120.563,2.6,1.7,Md,19,82.8,0.02694946,0.08,nc,nc72243231,2014-06-25T09:50:08.038Z,"24km SW of Coalinga, California",earthquake
2014-06-25T09:05:10.600Z,36.8953,-112.552,17.8,2.2,Ml,,129.6,0.18864621,0.16,uu,uu60074742,2014-06-25T17:19:20.401Z,"6km SSW of Fredonia, Arizona",earthquake
2014-06-25T08:59:09.610Z,33.1608333,-116.5065,10.45,0.79,ml,15,163,0.1104,0.34,ci,ci37235936,2014-06-25T09:03:31.130Z,"12km NE of Julian, California",earthquake
2014-06-25T08:53:57.000Z,51.799,178.4735,97.4,2.8,ml,,,,0.33,ak,ak11305482,2014-06-25T16:56:31.609Z,"16km S of Little Sitkin Island, Alaska",earthquake
2014-06-25T08:51:03.300Z,38.8243,-122.8048,3.3,0.9,Md,13,100.8,0,0.03,nc,nc72243211,2014-06-25T09:29:07.897Z,"6km NW of The Geysers, California",earthquake
2014-06-25T08:48:38.700Z,38.1857,-112.3272,4,1,Ml,,122.4,0.17966306,0.1,uu,uu60074737,2014-06-25T17:11:35.342Z,"Utah",earthquake
2014-06-25T08:45:11.300Z,46.6025,-119.8592,7.3,0.1,Md,,262.8,0.04491576,0.04,uw,uw60057108,2014-06-25T19:54:33.832Z,"9km SSE of Desert Aire, Washington",earthquake
2014-06-25T08:41:55.800Z,35.8403,-119.819,8.8,2.7,Md,63,72,0.21559567,0.25,nc,nc72243201,2014-06-25T21:21:19.410Z,"22km SE of Kettleman City, California",earthquake
2014-06-25T08:35:26.210Z,34.0151667,-117.1085,15.14,0.76,ml,19,87,0.02051,0.13,ci,ci37235920,2014-06-25T21:18:14.980Z,"5km WNW of Calimesa, California",earthquake
2014-06-25T08:28:26.200Z,19.4732,-155.6017,2.9,0.4,Md,,147.6,0.00898315,0.03,hv,hv60719881,2014-06-25T17:36:06.571Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake
2014-06-25T08:27:30.000Z,36.0002,-120.5652,2.5,1.8,Md,25,86.4,0.02694946,0.07,nc,nc72243181,2014-06-25T13:19:04.152Z,"Central California",earthquake
2014-06-25T08:25:25.810Z,38.4916649,-122.6223297,10.59,1.1,md,9,139,0.1072,0.03,nc,nc72243176,2014-06-25T12:50:03.974Z,"Northern California",earthquake
2014-06-25T08:18:27.180Z,35.9998322,-120.5666656,2.69,1.83,md,26,87,0.02618,0.09,nc,nc72243166,2014-06-25T12:20:08.806Z,"Central California",earthquake
2014-06-25T08:17:08.000Z,63.3255,-149.9732,100,1.2,ml,,,,0.61,ak,ak11305471,2014-06-25T08:48:54.840Z,"51km W of Cantwell, Alaska",earthquake
2014-06-25T08:13:40.280Z,34.0098333,-117.2213333,12.1,0.84,ml,21,59,0.09401,0.12,ci,ci37235912,2014-06-25T21:14:25.210Z,"5km SE of Loma Linda, California",earthquake
2014-06-25T08:06:41.270Z,36.088,-117.8813333,2.94,1.07,ml,14,98,0.03662,0.2,ci,ci37235904,2014-06-25T21:09:49.490Z,"49km N of Inyokern, California",earthquake
2014-06-25T08:05:30.200Z,39.2642,-110.3087,8.9,1.5,Ml,,100.8,0.22457882,0.12,uu,uu60074732,2014-06-25T17:51:15.656Z,"32km SSE of East Carbon City, Utah",earthquake
2014-06-25T07:59:53.000Z,62.3814,-149.1274,9.3,2.6,ml,,,,1.22,ak,ak11305441,2014-06-25T16:02:32.419Z,"Central Alaska",earthquake
2014-06-25T07:57:17.000Z,58.5179,-153.7078,78.5,2.2,ml,,,,0.39,ak,ak11305438,2014-06-25T08:28:49.250Z,"Kodiak Island region, Alaska",earthquake
2014-06-25T07:44:44.840Z,33.5961667,-116.8201667,10.13,1.15,ml,42,27,0.04087,0.12,ci,ci37235896,2014-06-25T21:05:23.000Z,"14km WNW of Anza, California",earthquake
2014-06-25T07:27:44.920Z,4.0504,-71.674,57.15,4.6,mb,,126,2.329,0.79,us,usc000rlph,2014-06-25T08:27:32.299Z,"53km ESE of Puerto Gaitan, Colombia",earthquake
2014-06-25T07:25:22.130Z,33.6023333,-116.8185,10.23,0.09,ml,17,143,0.03687,0.1,ci,ci37235888,2014-06-25T20:59:36.300Z,"Southern California",earthquake
2014-06-25T07:24:32.300Z,35.9995,-120.565,2,1.3,Md,16,86.4,0.02694946,0.08,nc,nc72243151,2014-06-25T11:07:03.447Z,"24km SW of Coalinga, California",earthquake
2014-06-25T07:22:35.140Z,37.4583333,-118.5566667,13.9,0.87,md,12,70,0.1051,0.03,nc,nc72243156,2014-06-25T16:11:05.066Z,"14km WNW of Dixon Lane-Meadow Creek, California",earthquake
2014-06-25T07:13:19.940Z,34.2965,-116.8383333,6.16,0.48,ml,8,100,0.05218,0.13,ci,ci37127044,2014-06-25T20:57:12.132Z,"3km N of Big Bear City, California",earthquake
2014-06-25T07:12:58.170Z,33.1456667,-116.4891667,10.25,0.59,ml,19,140,0.1115,0.17,ci,ci37235880,2014-06-25T20:51:11.460Z,"12km NE of Julian, California",earthquake
2014-06-25T07:09:19.600Z,37.4537,-118.556,15.5,1.6,Md,15,72,0.09881468,0.04,nc,nc72243146,2014-06-25T10:23:08.240Z,"13km NW of West Bishop, California",earthquake
2014-06-25T06:52:37.500Z,39.444,-111.2283,1.3,1.2,Ml,,122.4,0.14373045,0.18,uu,uu60074727,2014-06-25T17:05:25.292Z,"22km ESE of Mount Pleasant, Utah",earthquake
2014-06-25T06:48:46.300Z,47.7467,-122.4668,21.6,0.9,Md,,118.8,0.29644404,0.17,uw,uw60816511,2014-06-25T14:35:26.857Z,"4km E of Indianola, Washington",earthquake
2014-06-25T06:46:59.000Z,60.5678,-151.6513,69.5,2.8,ml,,,,0.62,ak,ak11305419,2014-06-25T14:49:31.901Z,"21km W of Kenai, Alaska",earthquake
2014-06-25T06:46:19.800Z,38.1948,-112.3145,5.5,1.6,Ml,,115.2,0.17966306,0.15,uu,uu60074722,2014-06-25T17:00:45.228Z,"9km WSW of Junction, Utah",earthquake
2014-06-25T06:45:08.400Z,33.2096667,-116.0535,7.15,1.45,ml,36,81,0.09027,0.17,ci,ci37235872,2014-06-25T20:49:59.520Z,"13km SW of Salton City, California",earthquake
2014-06-25T06:44:24.500Z,18.6998,-66.8905,78,2.8,Md,4,313.2,0.37459747,0.21,pr,pr14176003,2014-06-25T14:47:46.121Z,"24km NNW of Hatillo, Puerto Rico",earthquake
2014-06-25T06:36:26.800Z,35.8392,-119.7867,7.1,2.5,Md,17,111.6,0.3233935,0.17,nc,nc72243141,2014-06-25T20:45:18.190Z,"19km SE of Kettleman City, California",earthquake
2014-06-25T06:34:22.000Z,63.5091,-150.8656,12.7,1.1,ml,,,,0.61,ak,ak11305418,2014-06-25T06:52:01.841Z,"96km W of Cantwell, Alaska",earthquake
2014-06-25T06:26:11.830Z,35.8468333,-119.808,0,1.96,ml,12,137,0.2256,0.39,ci,ci37235856,2014-06-25T20:42:32.004Z,"Central California",earthquake
2014-06-25T06:14:43.900Z,33.6305,-116.6973333,15.94,0.29,ml,12,63,0.04304,0.07,ci,ci37235848,2014-06-25T20:39:22.290Z,"8km NNW of Anza, California",earthquake
2014-06-25T06:09:59.860Z,32.8976667,-116.276,6.67,1.12,ml,32,88,0.02694,0.22,ci,ci37235840,2014-06-25T20:36:37.370Z,"25km ENE of Pine Valley, California",earthquake
2014-06-25T05:55:46.300Z,38.7493,-122.7207,1.2,1,Md,12,100.8,0.00898315,0.03,nc,nc72243116,2014-06-25T06:38:02.066Z,"4km SE of The Geysers, California",earthquake
2014-06-25T05:48:50.800Z,33.9961667,-117.1736667,15.98,1.41,ml,57,40,0.06423,0.15,ci,ci37235824,2014-06-25T20:30:57.700Z,"6km S of Redlands, California",earthquake
2014-06-25T05:46:52.790Z,35.9068333,-119.8438333,0.01,1.82,ml,10,306,0.2555,0.26,ci,ci37235832,2014-06-25T20:24:56.838Z,"15km SE of Kettleman City, California",earthquake
2014-06-25T05:41:55.150Z,34.0248333,-116.7356667,11.2,2.29,ml,75,35,0.06077,0.12,ci,ci37235816,2014-06-25T20:23:18.620Z,"12km NNE of Cabazon, California",earthquake
2014-06-25T05:36:01.000Z,61.0487,-152.1724,98.1,1.6,ml,,,,0.36,ak,ak11305399,2014-06-25T06:09:38.535Z,"62km NW of Nikiski, Alaska",earthquake
2014-06-25T05:35:48.000Z,60.2084,-141.3251,0,0.8,ml,,,,0.77,ak,ak11305400,2014-06-25T06:09:39.434Z,"63km ENE of Cape Yakataga, Alaska",earthquake
2014-06-25T05:32:24.800Z,35.8223,-119.8903,9.1,2.8,Md,54,201.6,0.16169675,0.18,nc,nc72243101,2014-06-25T20:13:25.320Z,"21km SE of Kettleman City, California",earthquake
2014-06-25T05:26:42.580Z,33.4138333,-116.3525,16.75,0.65,ml,20,179,0.1252,0.27,ci,ci37235800,2014-06-25T20:10:19.260Z,"17km N of Borrego Springs, California",earthquake
2014-06-25T05:23:59.000Z,61.6239,-149.7677,27.8,1.2,ml,,,,0.54,ak,ak11305380,2014-06-25T05:48:50.318Z,"Southern Alaska",earthquake
2014-06-25T05:22:56.000Z,61.6391,-149.8161,34,1.3,ml,,,,0.64,ak,ak11305376,2014-06-25T05:48:45.146Z,"0km N of Houston, Alaska",earthquake
2014-06-25T05:21:04.000Z,61.6622,-149.7851,9.5,2.1,ml,,,,0.94,ak,ak11305369,2014-06-25T05:48:44.249Z,"3km NNE of Houston, Alaska",earthquake
2014-06-25T05:19:35.070Z,33.657,-116.7053333,18.94,0.61,ml,22,71,0.02885,0.09,ci,ci37235792,2014-06-25T20:06:44.790Z,"9km S of Idyllwild-Pine Cove, California",earthquake
